start station name,start station latitude,start station longitude,count_s20
Bond St & Bergen St,40.6849668,-73.98620772,756
Bond St & Fulton St,40.68962189,-73.98304269,2620
Broad St & Bridge St,40.70365182,-74.01167797,963
Broadway & 12 St,40.7668,-73.9347774,466
Broadway & Battery Pl,40.70463334,-74.01361706,2448
Broadway & Berry St,40.71044554,-73.96525063,2384
Broadway & E 14 St,40.73454567,-73.99074142,5007
Broadway & E 22 St,40.7403432,-73.98955109,5167
Broadway & Furman Ave,40.68139,-73.90756,244
Broadway & Hancock St,40.68663,-73.9168,522
Broadway & Kosciuszko St,40.69329,-73.92852,729
Broadway & Madison St,40.68822,-73.91966,626
Broadway & Moylan Pl,40.8143256,-73.9590255,1290
Broadway & Roebling St,40.70924826,-73.96063149,1111
Broadway & W 122 St,40.8120562,-73.9612547,562
Broadway & W 25 St,40.74286877,-73.98918629,5525
Broadway & W 29 St,40.7462009,-73.98855723,2192
Broadway & W 36 St,40.75097711,-73.98765428,1590
Broadway & W 37 St,40.75172632,-73.98753523,944
Broadway & W 38 St,40.75299641,-73.98721619,1641
Broadway & W 41 St,40.75513557,-73.98658032,2490
Broadway & W 49 St,40.76068327,-73.98452729,3185
Broadway & W 51 St,40.76228826,-73.98336183,1422
Broadway & W 53 St,40.76344058,-73.98268129,1880
Broadway & W 56 St,40.7652654,-73.98192338,5503
Broadway & W 60 St,40.76915505,-73.98191841,8388
Broadway & Whipple St,40.7016657,-73.9437303,1048
Brook Ave & E 141 St,40.809619,-73.917875,27
Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,3044
Bus Slip & State St,40.701907,-74.013942,2119
Bushwick Ave & Dekalb Ave,40.69502,-73.92825,510
Bushwick Ave & Forrest St,40.70076,-73.93641,484
Bushwick Ave & Furman Ave,40.68281,-73.90623,187
Bushwick Ave & Harman St,40.69356,-73.92524,470
Bushwick Ave & Linden St,40.69146,-73.92146,513
Bushwick Ave & McKibbin St,40.705517,-73.93936,273
Bushwick Ave & Powers St,40.71247661,-73.94100005,938
Bushwick Ave & Stagg St,40.709897,-73.94008,272
Butler St & Court St,40.6849894,-73.99440329,572
Cadman Plaza E & Johnson St,40.69531728,-73.99015725,1359
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,1375
Calyer St & Jewel St,40.72984,-73.94839,522
Cambridge Pl & Gates Ave,40.68488,-73.96304,815
Canal St & Rutgers St,40.71427487,-73.98990025,3326
Carlton Ave & Dean St,40.6809741,-73.9710097,951
Carlton Ave & Flushing Ave,40.697787,-73.973736,665
Carlton Ave & Park Ave,40.69580705,-73.97355569,514
Carmine St & 6 Ave,40.73038599,-74.00214988,5213
Carroll St & 5 Ave,40.6751622,-73.9814832,687
