start_station_name,start_lat,start_lng,count_s21
37 Ave & 35 St,40.75311,-73.927991,346
37 Ave & 35 St,40.753111,-73.927992,4
37 St & 24 Ave,40.770147,-73.912093,406
37 St & 24 Ave,40.770148,-73.912094,4
38 Ave & 29 St,40.75473,-73.93367,768
38 St & 30 Ave,40.764174,-73.915839,1142
38 St & 30 Ave,40.764175,-73.91584,17
38 St & Northern Blvd,40.752372,-73.925384,253
39 St & 2 Ave,40.655399,-74.010627,251
39 St & 2 Ave,40.6554,-74.010628,1
4 Ave & 17 St,40.665507,-73.993037,523
4 Ave & 26 St,40.660079,-73.998633,323
4 Ave & 3 St,40.673746,-73.985649,1092
4 Ave & 9 St,40.670513,-73.988765,1532
4 Ave & 9 St,40.670514,-73.988766,19
4 Ave & E 12 St,40.732647,-73.99011,4753
4 Ave & Shore Road Dr,40.637033,-74.022141,376
40 Ave & 9 St,40.75742,-73.945133,549
40 Ave & Crescent St,40.753599,-73.937956,576
41 St & 3 Ave,40.652512,-74.008906,49
41 St & 4 Ave,40.651354,-74.007168,280
42 Pl & Northern Blvd,40.753091,-73.920603,295
42 St & 1 Ave,40.654798,-74.014372,140
43 St & 23 Ave,40.769673,-73.906018,178
43 St & 35 Ave,40.754139,-73.919543,170
43 St & 37 Ave,40.750181,-73.919998,774
43 St & Broadway,40.757728,-73.916637,8
43 St & Broadway,40.757728,-73.916636,639
44 Dr & 21 St,40.748,-73.946093,11
44 Dr & 21 St,40.748,-73.946092,1394
44 Dr & Jackson Ave,40.747182,-73.943264,15
44 Dr & Jackson Ave,40.747182,-73.943263,1997
44 St & 2 Ave,40.652502,-74.013587,150
44 St & 3 Ave,40.651173,-74.011405,117
44 St & 6 Ave,40.647105,-74.004483,277
45 Rd & 11 St,40.747085,-73.949772,1556
45 Rd & 11 St,40.747086,-73.949772,13
45 St & 4 Ave,40.649145,-74.009486,393
46 Ave & 5 St,40.74731,-73.95451,2715
46 St & 25 Ave,40.765753,-73.90676,251
46 St & 28 Ave,40.763328,-73.908782,236
46 St & 30 Rd,40.76072,-73.910989,194
46 St & 6 Ave,40.645921,-74.005708,193
46 St & 7 Ave,40.644743,-74.003754,369
47 Ave & 31 St,40.743,-73.93561,560
47 Ave & Skillman Ave,40.743752,-73.941765,1
47 Ave & Skillman Ave,40.743752,-73.941764,88
47 St & 3 Ave,40.649143,-74.012384,157
48 Ave & 30 Pl,40.741283,-73.937259,7
48 Ave & 30 Pl,40.741283,-73.937258,444
48 Ave & 5 St,40.744363,-73.955873,820
48 St & 2 Ave,40.650176,-74.015606,96
48 St & 37 Ave,40.751555,-73.915026,750
48 St & 5 Ave,40.646351,-74.009271,231
48 St & Broadway,40.755763,-73.912715,459
49 Ave & 21 St,40.74252,-73.948852,512
49 St & 25 Ave,40.764496,-73.904632,99
49 St & 31 Ave,40.758057,-73.909831,314
5 Av & W 139 St,40.815484,-73.935856,848
5 Ave & 3 St,40.672815,-73.983523,2363
